,cash,mv,nav
2015-06-29,22326.97601608951,1045526.3318981875,1067853.307914277
2015-06-30,20938.24168318203,1046915.0662310957,1067853.3079142778
2015-07-01,22268.370803800415,1044545.8399206392,1066814.2107244397
2015-07-02,23319.554311446584,1045008.5579729887,1068328.1122844352
2015-07-06,24629.690455208893,1038650.0665774113,1063279.7570326203
2015-07-07,24629.690455208893,1041726.0293189812,1066355.71977419
2015-07-08,24842.323761602922,1029049.9227815226,1053892.2465431255
2015-07-09,24842.323761602922,1032335.371461982,1057177.695223585
2015-07-10,24842.323761602922,1039388.5849681442,1064230.9087297472
2015-07-13,24842.323761602922,1043433.1216983976,1068275.4454600005
2015-07-14,24842.323761602922,1046790.2292742643,1071632.5530358672
2015-07-15,24842.323761602922,1042145.9354439456,1066988.2592055486
